Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"5,300",80 to 90,"900 to 1,000",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,600",70 to 80,700 to 800,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,750",50 to 60,600 to 700,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,4,"7,800",110 to 120,"1,200 to 1,300",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"5,400",120 to 130,"1,300 to 1,400",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,800",70 to 80,700 to 800,Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,2,"3,900",100 to 110,"1,000 to 1,100",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,775",40 to 50,400 to 500,Jul-25
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,3,"5,100",100 to 110,"1,100 to 1,200",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,200",50 to 60,600 to 700,Jul-25
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,3,"5,200",100 to 110,"1,100 to 1,200",Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,450",90 to 100,"1,000 to 1,100",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,700",50 to 60,600 to 700,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,400",70 to 80,800 to 900,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"6,300",90 to 100,"900 to 1,000",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,100",90 to 100,"1,000 to 1,100",Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,3,"5,200",90 to 100,"900 to 1,000",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,4,"6,950",100 to 110,"1,100 to 1,200",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,500",100 to 110,"1,100 to 1,200",Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,3,"3,900",110 to 120,"1,200 to 1,300",Jul-25
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,4,"6,500",130 to 140,"1,400 to 1,500",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"4,400",40 to 50,400 to 500,Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,2,"4,260",90 to 100,"1,000 to 1,100",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,500",100 to 110,"1,100 to 1,200",Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"4,600",80 to 90,"900 to 1,000",Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,350",80 to 90,800 to 900,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,100",70 to 80,700 to 800,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"6,100",90 to 100,"900 to 1,000",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"6,000",80 to 90,"900 to 1,000",Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,4,"8,500",140 to 150,"1,600 to 1,700",Jul-25
IVORY HEIGHTS,JURONG EAST STREET 13,22,Non-Landed Properties,NA,"5,400",150 to 160,"1,700 to 1,800",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,100",90 to 100,"1,000 to 1,100",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,100",70 to 80,700 to 800,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,400",100 to 110,"1,100 to 1,200",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"5,800",80 to 90,"900 to 1,000",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"4,200",90 to 100,"1,000 to 1,100",Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"4,500",80 to 90,"900 to 1,000",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,500",100 to 110,"1,100 to 1,200",Jul-25
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,1,"3,500",50 to 60,600 to 700,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"3,900",80 to 90,800 to 900,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,800",50 to 60,600 to 700,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"5,700",80 to 90,"900 to 1,000",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"5,500",80 to 90,800 to 900,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"4,800",80 to 90,"900 to 1,000",Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,2,"3,300",90 to 100,"1,000 to 1,100",Jul-25
IVORY HEIGHTS,JURONG EAST STREET 13,22,Non-Landed Properties,NA,"5,800",130 to 140,"1,400 to 1,500",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,3,"4,900",110 to 120,"1,200 to 1,300",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,300",100 to 110,"1,100 to 1,200",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"3,950",80 to 90,800 to 900,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,300",90 to 100,"1,000 to 1,100",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,3,"5,200",80 to 90,"900 to 1,000",Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,4,"5,200",140 to 150,"1,500 to 1,600",Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,300",50 to 60,600 to 700,Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,2,"3,800",100 to 110,"1,000 to 1,100",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,2,"4,200",100 to 110,"1,000 to 1,100",Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,3,"6,500",150 to 160,"1,600 to 1,700",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,3,"6,500",120 to 130,"1,300 to 1,400",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,900",60 to 70,600 to 700,Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,200",100 to 110,"1,100 to 1,200",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,150",60 to 70,700 to 800,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,500",50 to 60,600 to 700,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,700",50 to 60,600 to 700,Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,250",60 to 70,700 to 800,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,100",90 to 100,"1,000 to 1,100",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Jul-25
LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,22,Non-Landed Properties,NA,"5,580",170 to 180,"1,800 to 1,900",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"5,900",80 to 90,"900 to 1,000",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,850",50 to 60,600 to 700,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,800",90 to 100,"1,000 to 1,100",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"4,800",100 to 110,"1,100 to 1,200",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,200",100 to 110,"1,100 to 1,200",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,300",50 to 60,600 to 700,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,3,"5,200",80 to 90,"900 to 1,000",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,100",70 to 80,700 to 800,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,500",110 to 120,"1,100 to 1,200",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,600",50 to 60,600 to 700,Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"4,650",90 to 100,"900 to 1,000",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"5,900",80 to 90,"900 to 1,000",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"5,000",90 to 100,"1,000 to 1,100",Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,200",30 to 40,400 to 500,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,800",50 to 60,600 to 700,Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,2,"4,100",100 to 110,"1,000 to 1,100",Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,300",80 to 90,800 to 900,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,3,"5,500",80 to 90,"900 to 1,000",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,2,"4,000",100 to 110,"1,000 to 1,100",Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,500",50 to 60,600 to 700,Jul-25
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"4,400",110 to 120,"1,200 to 1,300",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jul-25
IVORY HEIGHTS,JURONG EAST STREET 13,22,Non-Landed Properties,NA,"5,700",150 to 160,"1,600 to 1,700",Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,3,"4,600",110 to 120,"1,200 to 1,300",Jul-25
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,2,"3,700",90 to 100,"1,000 to 1,100",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,550",30 to 40,400 to 500,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,700",70 to 80,800 to 900,Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,2,"4,100",100 to 110,"1,000 to 1,100",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,250",60 to 70,700 to 800,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,900",70 to 80,700 to 800,Jul-25
THE MAYFAIR,JURONG EAST STREET 32,22,Non-Landed Properties,1,"3,350",50 to 60,600 to 700,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"5,600",80 to 90,"900 to 1,000",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"4,700",90 to 100,"1,000 to 1,100",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,188",100 to 110,"1,100 to 1,200",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,150",100 to 110,"1,100 to 1,200",Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,3,"4,800",80 to 90,"900 to 1,000",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,3,"6,000",90 to 100,"900 to 1,000",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,280",50 to 60,600 to 700,Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,NA,"3,000",40 to 50,400 to 500,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,4,"6,500",110 to 120,"1,200 to 1,300",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,600",50 to 60,600 to 700,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,600",110 to 120,"1,100 to 1,200",Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,850",50 to 60,600 to 700,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,4,"7,800",140 to 150,"1,500 to 1,600",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,3,"6,050",100 to 110,"1,100 to 1,200",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,1,"4,200",70 to 80,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,400",60 to 70,700 to 800,Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"4,900",120 to 130,"1,300 to 1,400",Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,150",110 to 120,"1,200 to 1,300",Jul-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"3,800",110 to 120,"1,200 to 1,300",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,300",80 to 90,800 to 900,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,450",50 to 60,600 to 700,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,3,"6,300",100 to 110,"1,100 to 1,200",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,3,"3,100",110 to 120,"1,200 to 1,300",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,3,"5,000",90 to 100,"900 to 1,000",Jul-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,600",110 to 120,"1,100 to 1,200",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"5,200",70 to 80,700 to 800,Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,3,"4,000",90 to 100,"900 to 1,000",Jul-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Jul-25
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,3,"5,200",110 to 120,"1,100 to 1,200",Jul-25
IVORY HEIGHTS,JURONG EAST STREET 13,22,Non-Landed Properties,NA,"5,950",170 to 180,"1,800 to 1,900",Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,2,"4,800",90 to 100,"1,000 to 1,100",Jul-25
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,600",110 to 120,"1,200 to 1,300",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Jul-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,3,"6,200",110 to 120,"1,200 to 1,300",Jul-25
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,3,"5,900",90 to 100,"1,000 to 1,100",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Jul-25
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Jul-25
